91,-53,5,0,326
10,11,1,1,37
88,-62,-4,0,1268
-6,-94,-3,-1,1048
-52,-50,3,-3,1201
-50,-58,1,3,1407
5,75,2,-1,1690
-58,5,-4,2,1433
84,96,-3,5,982
-10,37,5,-3,1921
-72,-56,2,-4,567
33,-56,4,-3,222
57,-100,-3,1,1488
-70,-81,-2,3,661
-15,-20,2,-2,571
25,-10,1,1,418
20,91,-5,-1,234
-26,-8,-2,2,1734
46,99,0,5,904
-46,55,-5,2,252
62,-24,5,3,1861
-42,12,1,5,29
-66,-95,-5,-1,208
35,-10,-1,-4,1191
-98,-20,1,4,1068
18,24,-1,3,310
-98,25,5,-4,422
0,-41,-1,5,851
-14,25,-3,-2,189
10,69,-5,2,312
49,88,4,-5,1639
-98,-31,-4,1,261
