40,-23,3,-4,11.847249439018201
-48,82,1,1,10.361383623300767
51,-76,-1,4,12.348298214457927
-69,20,4,4,6.326693836927512
-36,57,2,-4,6.565133909777082
-74,-31,1,2,9.36502367832579
44,-60,-3,-5,0.6905943811773803
-17,-43,0,4,6.478456859651951
-92,26,-3,-5,5.82745323644462
-7,33,4,-3,5.9342237242890254
67,87,3,3,6.5157585075716264
-27,12,2,3,10.52129936021043
-65,-80,-1,-2,10.203138879509362
94,31,5,-1,5.679633891891887
62,-41,1,-2,13.197606770250522
-8,83,2,-4,7.5162452823730055
45,-11,-5,1,14.59835764632369
37,74,3,-5,1.5543411576023571
0,-44,-4,-3,6.946270012097344
3,-55,0,-3,11.84518253232996
-31,86,-4,1,1.6908640939038524
-14,-44,-3,-1,10.459772005085748
-16,-41,-3,5,10.657867204053044
95,20,5,-4,12.44162484649029
71,26,4,-4,11.650852059266985
66,85,-5,5,3.541321452225214
31,26,1,-1,16.127666358813556
-18,-99,-4,-2,16.77890695213495
-22,-99,1,-2,8.970027111263454
-22,64,-2,-1,17.37903782451332
-10,-50,2,5,15.312448315523982
-49,70,-2,-1,14.227411954682864
-92,18,0,-2,13.218325122606199
-57,-67,-3,1,4.64753481891414
-13,22,4,-4,9.045770905692187
27,-20,3,-3,7.984422468652489
86,52,5,0,15.231884454681813
-29,23,-5,4,17.298705251924257
97,-59,-1,-3,8.18840947900866
-54,52,-1,-2,15.121935850456028
-95,-36,-1,1,13.073499321830624
10,-73,4,5,16.099050430568326
74,-5,4,5,18.19013364603878
6,-64,1,5,7.533164276747728
-30,1,-3,-5,17.658809912067465
61,33,1,-1,6.46832028722501
90,-75,-2,2,1.9873333075962138
-49,37,0,0,15.358699200199196
-13,-53,3,-5,7.627255681481051
61,-94,-1,-5,6.978682928067318
17,98,-3,-2,11.452028804466904
90,-19,-2,0,10.051126742116766
-84,-38,-1,-1,8.167932710015018
-69,-63,4,1,9.273197089839227
39,-5,4,-4,10.817076119373146
-15,59,-3,2,17.0856442632691
50,-99,-4,-3,19.247868761349775
-65,-26,4,4,18.282124208465593
