25,51,3,-1,1015
-41,-13,1,4,120
87,24,4,0,1850
-27,62,-2,-3,197
18,-98,-2,-1,568
25,-44,3,0,233
51,42,-5,-2,375
49,15,-5,1,436
58,-98,1,4,446
-91,74,2,-1,518
8,44,2,-5,799
-28,-5,1,2,1425
-54,-98,-3,3,702
-98,50,-1,2,1714
-39,-82,-5,5,345
-100,86,1,-3,1602
67,-80,-5,-4,1116
-86,-18,4,-4,1977
8,83,4,1,1872
-90,-16,-4,-5,133
9,39,0,-1,1515
94,57,-1,1,441
-86,86,1,-3,543
25,90,-3,2,538
50,-3,5,5,411
-79,8,2,1,1360
35,-7,1,1,808
58,-31,1,2,1330
-71,-81,1,-4,176
43,44,-3,5,339
100,-65,5,3,1776
-89,81,-5,3,413
-6,-64,4,-2,264
-31,-21,-5,3,270
0,3,3,-4,997
8,84,-1,3,1008
-21,-97,5,-3,883
86,79,-5,-4,511
8,66,-1,4,317
-36,-35,0,5,620
58,-48,-5,-3,224
49,4,5,-5,1763
60,62,1,3,594
64,73,3,-1,1982
39,83,-5,0,540
-26,-38,1,-4,871
28,21,-5,3,779
29,-53,3,-4,867
57,8,-5,3,323
-2,21,2,-5,255
-74,-59,-5,3,1530
-49,-28,-1,-2,432
22,33,1,-2,1611
47,-42,2,-2,1024
32,-76,5,5,1606
74,48,1,-3,1571
-70,-30,4,2,392
90,95,-1,1,27
26,-72,4,2,1640
-36,-95,-4,5,1373
-35,41,1,1,1281
75,-5,0,-1,283
8,-57,0,-5,1987
-9,23,-1,4,1626
11,51,-4,-5,450
-46,-61,2,1,177
5,-11,-4,-5,1406
82,92,2,1,1067
-11,-31,-2,-4,1859
-47,69,3,3,1581
-80,51,2,-5,1023
18,67,-3,-5,742
17,-13,3,0,1858
40,19,-5,-3,539
25,80,3,-5,1245
38,-34,0,1,1422
-49,9,1,-5,1302
62,-63,-5,5,368
-47,87,-2,3,244
-10,-25,1,-2,1421
-96,-18,2,-3,411
-93,3,1,-5,961
82,-97,-5,1,1212
55,49,3,1,1190
-38,-34,5,-4,478
-1,-14,-5,-2,783
-15,29,1,0,516
16,42,-2,-2,851
98,58,2,3,407
60,71,-4,-1,331
55,67,-4,-1,10
63,-38,0,-4,1691
68,97,2,1,883
-86,-6,-1,3,1710
-3,22,-5,-5,28
-9,-20,1,-5,309
-27,36,4,-3,1109
-73,17,0,-4,1363
34,31,-5,3,386
-26,50,3,-1,1326
64,16,4,-3,1336
-36,-97,4,3,1468
-16,-52,-3,-3,1386
-3,1,-5,1,891
-73,-2,-4,1,762
16,-20,5,-4,895
86,15,4,-2,120
-8,-16,1,5,231
19,100,2,0,1503
96,-57,-2,3,888
32,17,4,-4,540
-82,88,3,-3,1112
-43,55,-2,-3,614
-6,38,-2,-1,1383
76,-43,3,-3,810
81,-69,-1,-2,616
35,-54,4,-5,1218
-77,-20,-5,1,349
16,-21,-4,-4,483
64,-3,3,1,178
30,77,-5,0,1124
-86,-76,2,-3,545
75,-91,5,2,1862
4,-59,-2,5,829
15,35,-4,0,1744
45,90,2,-1,1879
68,8,0,3,1719
35,-18,4,-2,1243
